Name,Team,Age,Projected_PA,HR_Park_Factor,HR_rate_raw,age_multiplier,HR_rate_final,Projected_HR
Reese McGuire,BOS,30,172.4,100,0.0521,0.97,0.0505,8.7
Jose Iglesias,SDP,36,304.5,100,0.0343,0.82,0.0281,8.6
Jose Herrera,ARI,29,204,100,0.0419,1,0.0419,8.6
Nick Ahmed,- - -,35,209.2,100,0.0462,0.88,0.0406,8.5
Yohel Pozo,STL,29,168,100,0.0502,1,0.0502,8.4
Matt Carpenter,STL,39,170.1,100,0.0601,0.82,0.0493,8.4
Trey Lipscomb,WSN,25,217.3,100,0.0367,1.05,0.0386,8.4
Matt Duffy,KCR,33,209,100,0.0409,0.93,0.038,7.9
Nick Martini,CIN,35,153.2,100,0.0582,0.88,0.0512,7.9
Sam Haggerty,TEX,32,182,100,0.0456,0.93,0.0424,7.7
Kole Calhoun,CLE,36,163.6,100,0.0574,0.82,0.047,7.7
Hyeseong Kim,LAD,27,170,100,0.0435,1.02,0.0444,7.5
Jason Delay,PIT,29,187,100,0.0401,1,0.0401,7.5
Nelson Cruz,SDP,43,150,100,0.061,0.82,0.05,7.5
Raimel Tapia,- - -,30,169,100,0.0455,0.97,0.0441,7.5
Luisangel Acuna,NYM,24,198.8,100,0.0356,1.05,0.0373,7.4
Jake Alu,WSN,27,175,100,0.0411,1.02,0.0419,7.3
Kyle Karros,COL,23,160.7,100,0.042,1.07,0.0449,7.2
Bryce Teodosio,LAA,27,150,100,0.0464,1.02,0.0473,7.1
Garrett Stubbs,PHI,32,187,100,0.0401,0.93,0.0373,7
Tyler Heineman,TOR,35,163.6,100,0.0476,0.88,0.0419,6.8
Jonathan Schoop,DET,32,151,100,0.0482,0.93,0.0448,6.8
Travis Jankowski,TEX,34,217.1,100,0.0337,0.88,0.0296,6.4
Corey Dickerson,WSN,35,150,100,0.0486,0.88,0.0428,6.4
Miles Mastrobuoni,SEA,30,175,100,0.0372,0.97,0.0361,6.3
Alan Roden,- - -,26,153,100,0.0401,1.02,0.0409,6.3
Luis Guillorme,- - -,30,187,100,0.0339,0.97,0.0329,6.2
Tyler Wade,SDP,30,156,100,0.0405,0.97,0.0393,6.1
Luke Maile,CIN,34,157.5,100,0.0434,0.88,0.0382,6
Zach Remillard,CWS,30,160,100,0.0385,0.97,0.0374,6
Austin Nola,SDP,34,150,100,0.0438,0.88,0.0385,5.8
Austin Barnes,LAD,35,159,100,0.0389,0.88,0.0342,5.4
